"","A10_S18_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A11_S21_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A7_S12_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","A9_S15_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B10_S19_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B11_S22_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B7_S13_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","B9_S16_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C2_S6_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","C7_S14_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D0_S1_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D1_S4_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D3_S8_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D4_S10_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","D5_S11_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E0_S2_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E1_S5_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","E2_S7_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam","F10_S20_R1.fastq.gz.STAR.Aligned.sortedByCoord.out.bam"
"dp_gene6923",33,30,23,15,14,24,37,19,39,39,55,47,20,28,72,92,87,80,79
"dp_gene6924",462,485,477,527,414,603,795,457,559,717,301,451,102,240,405,322,338,328,77
"dp_gene6925",2,5,4,2,7,4,6,6,8,2,2,3,1,0,4,2,1,1,2
"dp_gene6926",6,3,1,3,6,3,7,5,3,4,2,9,4,2,5,9,4,2,4
"dp_gene6927",1,1,1,1,0,1,2,0,6,3,12,7,4,6,6,15,7,5,9
"dp_gene6928",0,8,3,0,0,2,0,1,1,2,0,1,0,0,1,2,0,0,0
"dp_gene6929",32,58,50,53,62,78,69,53,38,40,33,22,3,7,43,40,20,32,65
"dp_gene6930",59,88,54,67,81,97,93,66,73,77,110,81,21,36,120,93,35,44,202
"dp_gene6931",0,0,1,0,1,1,1,0,1,0,0,3,1,0,0,2,3,7,4
"dp_gene6932",62,60,41,44,88,106,182,78,133,133,57,89,19,26,95,77,82,60,38
"dp_gene6933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6934",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"dp_gene6935",4,3,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,9
"dp_gene6936",1,18,23,23,31,28,26,19,7,8,1,1,2,2,6,6,7,11,20
"dp_gene6937",0,3,10,9,11,12,16,10,4,1,2,0,0,0,4,6,1,7,4
"dp_gene6938",7,28,23,33,15,22,40,31,16,8,7,17,0,0,12,28,29,38,31
"dp_gene6939",2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"dp_gene6940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6941",2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"dp_gene6942",3,3,5,4,5,2,4,2,4,1,2,2,0,4,5,3,5,4,1
"dp_gene6943",6613,8393,7564,9254,13342,15914,21006,13295,12158,14665,6493,6013,2057,1826,7779,5393,4519,4597,5247
"dp_gene6944",156,157,156,166,159,197,363,168,206,313,77,144,33,57,110,62,79,60,11
"dp_gene6945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene6946",59,54,56,67,78,74,123,59,57,82,39,62,20,31,60,56,100,58,27
"dp_gene6947",2,5,10,9,12,15,13,12,6,3,1,0,0,0,4,6,3,7,10
"dp_gene6948",4,13,17,31,11,19,15,17,13,6,11,16,0,0,12,20,23,30,27
"dp_gene6949",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6950",16,11,6,10,2,9,4,2,2,2,2,2,6,1,6,2,8,8,3
"dp_gene6951",2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"dp_gene6952",3,3,5,3,5,2,4,2,4,1,2,2,0,4,5,3,5,4,1
"dp_gene6953",818,690,375,276,206,206,307,137,303,225,261,296,57,141,373,601,508,422,1574
"dp_gene6954",5446,6820,5654,6529,8859,10897,14420,8968,8537,10178,4598,4341,1538,1327,5605,4249,3593,3537,5785
"dp_gene6955",138,158,151,168,158,201,344,168,211,286,71,135,38,52,105,73,72,59,9
"dp_gene6956",0,0,0,0,3,0,1,1,1,1,0,1,0,0,0,1,0,0,1
"dp_gene6957",1,0,1,1,3,0,2,0,0,0,0,3,0,1,0,0,0,0,0
"dp_gene6958",7,10,4,12,1,2,7,0,0,0,1,1,1,0,1,0,2,1,0
"dp_gene6959",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"dp_gene6960",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6961",1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"dp_gene6962",10,2,5,6,4,3,2,1,0,5,0,0,0,0,0,4,2,0,7
"dp_gene6963",4,1,2,1,3,0,1,0,3,0,5,0,6,0,2,4,1,0,4
"dp_gene6964",0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1
"dp_gene6965",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"dp_gene6966",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene6967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6968",11,11,8,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6969",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
"dp_gene6970",0,0,0,0,1,3,1,1,0,3,2,1,0,1,0,4,1,3,3
"dp_gene6971",6,4,0,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0
"dp_gene6972",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"dp_gene6973",3,1,4,3,1,2,1,2,1,0,1,1,0,0,2,6,0,2,3
"dp_gene6974",0,1,4,0,3,2,1,2,0,0,2,1,0,0,1,0,1,3,36
"dp_gene6975",118,85,83,78,44,50,74,36,41,63,33,42,26,16,32,49,66,50,28
"dp_gene6976",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"dp_gene6977",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
"dp_gene6978",37,29,46,35,34,19,58,33,55,32,26,34,5,15,24,12,17,14,11
"dp_gene6979",4,7,13,18,24,22,39,19,36,53,11,9,4,9,7,11,12,9,1
"dp_gene6980",1,0,0,3,5,1,2,0,2,1,1,2,0,0,1,1,1,0,1
"dp_gene6981",0,1,1,1,6,4,2,1,0,3,3,0,0,0,1,1,1,0,2
"dp_gene6982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6984",1,2,2,0,2,0,2,0,0,0,1,0,0,1,2,0,0,0,1
"dp_gene6985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"dp_gene6986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6987",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dp_gene6988",0,0,0,0,0,1,0,1,3,0,1,5,0,2,2,3,5,1,2
"dp_gene6989",0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0
"dp_gene6990",1,4,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6991",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"dp_gene6992",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6993",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"dp_gene6994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6995",1,0,3,4,1,9,13,3,4,11,10,18,9,5,11,19,15,23,16
"dp_gene6996",11,8,9,11,24,22,23,11,13,16,20,25,5,12,25,41,29,24,15
"dp_gene6997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene6999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7000",1,3,4,0,2,1,2,0,6,2,3,2,0,9,4,17,12,11,10
"dp_gene7001",0,5,4,8,6,2,9,4,9,5,2,3,0,0,9,7,3,2,5
"dp_gene7002",0,0,1,3,2,3,1,2,1,0,1,0,0,0,0,0,0,0,1
"dp_gene7003",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"dp_gene7004",227,369,298,404,537,624,715,491,290,361,142,114,50,31,181,92,63,73,77
"dp_gene7005",0,3,2,6,9,22,16,11,16,8,15,10,0,4,17,15,14,9,5
"dp_gene7006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7008",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7009",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
"dp_gene7010",0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0,0,3
"dp_gene7011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7012",1,0,1,0,0,0,1,0,2,1,4,0,0,0,3,163,2,0,204
"dp_gene7013",12,14,10,6,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
"dp_gene7014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"dp_gene7016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7018",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"dp_gene7019",0,3,0,0,0,0,1,0,0,0,2,0,0,1,4,0,2,0,1
"dp_gene7020",80,118,152,129,141,214,290,185,195,220,70,107,33,50,120,127,104,70,28
"dp_gene7021",16,12,15,17,16,42,44,17,63,55,95,117,29,63,128,247,276,193,36
"dp_gene7022",83,85,90,92,42,72,97,72,85,97,71,90,16,54,104,88,76,112,45
"dp_gene7023",273,232,175,158,61,85,118,68,87,91,58,61,10,34,71,57,59,54,22
"dp_gene7024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7025",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene7026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene7027",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7028",4,3,2,6,2,4,6,0,5,4,0,2,0,1,3,7,4,4,6
"dp_gene7029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7034",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
"dp_gene7035",9,11,12,10,6,2,5,3,2,0,0,4,0,2,1,0,1,3,0
"dp_gene7036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7037",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7040",0,0,1,7,0,0,3,0,0,0,4,0,1,1,3,3,3,0,2
"dp_gene7041",0,2,0,0,8,21,2,5,10,11,5,6,0,2,7,8,3,6,2
"dp_gene7042",2,1,3,3,0,3,2,0,1,1,0,0,0,0,0,3,2,0,0
"dp_gene7043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7044",1,3,4,4,0,1,7,4,37,9,17,15,4,3,21,0,0,0,0
"dp_gene7045",0,2,1,0,2,5,1,2,7,2,5,3,0,2,2,2,4,0,3
"dp_gene7046",4,9,6,8,5,7,6,8,4,13,6,12,3,3,9,9,7,7,8
"dp_gene7047",2,2,3,1,5,1,2,1,2,6,0,2,0,0,0,1,0,0,4
"dp_gene7048",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7049",3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"dp_gene7050",0,0,3,1,4,2,6,3,8,3,11,9,1,1,9,6,3,1,4
"dp_gene7051",50,22,65,69,60,49,58,29,24,44,10,18,0,4,17,7,4,6,1
"dp_gene7052",55,49,35,29,25,22,44,15,23,23,14,14,3,8,11,10,10,13,7
"dp_gene7053",1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0
"dp_gene7054",2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene7055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"dp_gene7056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7057",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7058",4,4,3,2,1,2,1,2,7,8,4,3,0,2,4,2,10,1,1
"dp_gene7059",11,17,5,8,19,12,16,12,10,21,10,9,3,8,7,12,11,4,15
"dp_gene7060",21,31,38,31,39,48,47,28,22,23,32,25,3,4,26,43,30,25,19
"dp_gene7061",248,278,263,298,280,296,440,270,416,381,243,338,64,156,415,390,354,327,154
"dp_gene7062",15,20,4,9,2,4,3,3,2,1,2,9,2,8,15,8,4,13,3
"dp_gene7063",0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
"dp_gene7064",2,0,2,3,5,4,5,2,0,1,6,6,0,1,10,8,5,2,2
"dp_gene7065",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"dp_gene7066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7067",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"dp_gene7068",57,43,35,47,49,63,101,53,75,97,77,79,19,37,86,118,81,56,89
"dp_gene7069",19,25,19,13,10,5,9,8,6,9,5,8,12,5,7,12,8,7,4
"dp_gene7070",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"dp_gene7071",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene7072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7075",1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
"dp_gene7076",8,2,3,1,0,0,3,0,4,0,1,2,0,0,11,6,2,2,0
"dp_gene7077",0,1,0,0,2,1,1,2,0,0,1,0,0,0,1,3,4,3,0
"dp_gene7078",169,150,152,144,118,128,185,133,143,142,63,69,26,21,93,56,34,41,8
"dp_gene7079",529,437,423,264,240,229,292,191,159,184,132,104,34,47,163,176,143,78,109
"dp_gene7080",37,30,39,48,32,65,89,51,58,77,42,47,13,25,59,45,32,23,13
"dp_gene7081",0,3,2,3,1,1,0,2,2,2,0,0,0,0,1,2,2,0,2
"dp_gene7082",19,19,29,61,110,139,180,76,157,154,103,134,30,75,123,257,212,206,107
"dp_gene7083",1,3,0,1,3,6,7,0,3,7,3,3,0,1,2,3,5,1,3
"dp_gene7084",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene7085",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene7086",0,0,0,0,1,2,3,0,0,0,0,1,0,0,0,3,0,0,3
"dp_gene7087",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"dp_gene7088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7089",1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"dp_gene7090",0,1,1,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0
"dp_gene7091",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene7093",0,0,0,1,2,2,1,1,5,0,11,15,8,5,13,104,74,64,158
"dp_gene7094",18,25,38,56,119,168,255,143,259,150,213,174,17,9,189,203,93,65,214
"dp_gene7095",0,2,1,2,1,0,0,0,1,3,3,6,0,7,4,13,7,7,7
"dp_gene7096",1959,2266,2152,2271,1848,2162,3410,2099,2041,2363,1066,1675,396,692,1526,1149,1078,1091,334
"dp_gene7097",34,38,53,68,45,51,49,35,29,43,20,20,2,4,13,10,9,22,13
"dp_gene7098",2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,1,0,0
"dp_gene7099",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0
"dp_gene7100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7102",0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0
"dp_gene7103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7105",0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1
"dp_gene7106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7107",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
"dp_gene7108",0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,1,1,0,2
"dp_gene7109",1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0,0,1
"dp_gene7110",0,0,0,0,0,2,4,2,1,1,0,0,0,3,0,2,0,3,3
"dp_gene7111",7,7,4,2,2,2,3,1,6,6,2,4,0,1,7,1,5,2,2
"dp_gene7112",0,1,0,1,5,4,4,3,0,0,1,4,0,0,11,8,2,3,17
"dp_gene7113",28,20,10,19,7,7,10,3,13,5,3,6,0,1,7,4,5,0,5
"dp_gene7114",0,3,6,1,2,2,7,1,1,0,2,3,0,0,2,6,0,6,1
"dp_gene7115",694,840,815,900,1023,1090,1176,780,674,870,332,319,125,107,422,376,298,283,225
"dp_gene7116",0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"dp_gene7117",8,0,4,2,2,1,6,1,10,9,4,7,0,4,10,14,10,11,3
"dp_gene7118",53,34,20,31,45,60,65,45,41,41,33,58,21,29,60,42,41,47,27
"dp_gene7119",1,1,1,7,8,9,8,1,3,4,4,4,0,2,9,2,1,5,0
"dp_gene7120",15,15,17,11,16,13,33,18,12,36,8,15,7,12,8,6,6,6,2
"dp_gene7121",0,2,0,2,3,0,1,2,0,1,0,0,0,0,0,2,0,0,0
"dp_gene7122",12,11,5,4,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1
"dp_gene7123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7124",177,172,176,182,209,204,360,204,183,242,88,105,20,31,107,101,57,53,40
"dp_gene7125",0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2
"dp_gene7126",0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,1,0,2,4
"dp_gene7127",5,2,1,3,2,5,1,1,5,2,3,4,0,0,4,14,9,8,4
"dp_gene7128",0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,1,5
"dp_gene7129",1,1,2,2,3,5,9,1,5,4,4,3,1,1,1,5,1,1,7
"dp_gene7130",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene7131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7133",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"dp_gene7134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"dp_gene7135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7137",2547,2790,2706,2657,1841,2048,2636,1682,1563,1645,983,976,286,402,1166,1150,926,774,863
"dp_gene7138",220,221,201,164,167,188,337,217,234,242,124,160,54,76,203,238,176,163,138
"dp_gene7139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"dp_gene7140",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dp_gene7141",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7143",0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2
"dp_gene7144",3,5,2,2,2,2,7,4,1,3,0,0,1,0,1,1,0,1,0
"dp_gene7145",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"dp_gene7146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7147",1,0,0,0,0,2,3,2,3,2,3,4,0,1,7,11,7,7,6
"dp_gene7148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene7150",2,2,4,4,5,8,11,2,8,4,6,13,2,9,12,50,83,47,13
"dp_gene7151",0,0,0,0,0,0,0,0,0,0,88,152,22,109,118,822,1039,795,878
"dp_gene7152",1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0
"dp_gene7153",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7154",0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,5
"dp_gene7155",3,1,8,6,3,4,10,6,6,8,1,2,0,2,3,1,4,1,1
"dp_gene7156",1,2,1,1,0,0,3,1,3,0,0,2,0,0,2,1,2,0,0
"dp_gene7157",0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1
"dp_gene7158",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"dp_gene7159",2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7160",22,20,30,29,32,26,36,27,20,24,2,5,2,2,9,0,1,0,0
"dp_gene7161",90,96,88,66,100,96,128,105,73,98,52,74,18,32,93,158,149,109,45
"dp_gene7162",430,491,416,409,346,373,555,303,402,384,268,260,96,83,321,248,196,177,163
"dp_gene7163",99,135,103,73,155,139,163,113,97,103,82,76,11,23,77,112,153,116,84
"dp_gene7164",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7166",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7169",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7170",11,6,9,7,6,10,18,13,29,9,25,15,2,4,32,22,28,19,11
"dp_gene7171",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7172",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
"dp_gene7173",3,8,9,2,12,8,7,12,1,8,0,0,0,0,0,2,0,0,4
"dp_gene7174",2,9,1,7,27,23,27,20,2,6,7,2,0,1,5,5,6,3,7
"dp_gene7175",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"dp_gene7176",0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,3,3
"dp_gene7177",0,0,2,1,1,2,4,0,0,0,3,1,0,2,0,3,1,1,11
"dp_gene7178",6,1,4,3,0,1,0,0,0,0,0,2,0,0,0,2,0,1,3
"dp_gene7179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"dp_gene7181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7183",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7184",0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
"dp_gene7185",0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,1
"dp_gene7186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7187",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"dp_gene7188",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"dp_gene7189",5,6,1,4,11,11,176,28,2235,854,46,313,196,218,243,42,52,28,12
"dp_gene7190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"dp_gene7192",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"dp_gene7193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7194",2,1,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,1,2
"dp_gene7195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7196",0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0
"dp_gene7197",0,0,1,0,0,0,0,0,0,3,0,2,6,0,0,0,2,1,0
"dp_gene7198",0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,2
"dp_gene7199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"dp_gene7200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dp_gene7201",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"dp_gene7202",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,2
