UMM-S273-2.27-mRNA-1	GO:0008289 
UMM-S2840-45.83-mRNA-1	GO:0016021
UMM-S41-37.44-mRNA-1	GO:0016021
UMM-S2877-1.25-mRNA-1	GO:0016021
UMM-S2877-1.27-mRNA-1	GO:0016020
UMM-S2857-2.34-mRNA-1	GO:0016787
UMM-S2877-1.10-mRNA-1	GO:0016787
UMM-S2877-0.29-mRNA-1	GO:0016020
UMM-S10-23.10-mRNA-1	GO:0006999
UMM-S10-24.62-mRNA-1	GO:0006999
UMM-S41-55.54-mRNA-1	GO:0016021
UMM-S2852-12.13-mRNA-1	GO:0016021
UMM-S2852-13.0-mRNA-1	GO:0016020
UMM-S2852-13.46-mRNA-1	GO:0006508
UMM-S2852-13.1-mRNA-1	GO:0003824
UMM-S2840-45.12-mRNA-1	GO:0016020
UMM-S2852-13.48-mRNA-1	GO:0016020
UMM-S2852-13.39-mRNA-1	GO:0016021
UMM-S2842-5.47-mRNA-1	GO:0016021
UMM-S2852-13.4-mRNA-1	GO:0016021
UMM-S2852-13.44-mRNA-1	GO:0007186
UMM-S2852-14.37-mRNA-1	GO:0000166
UMM-S2852-14.36-mRNA-1	GO:0000166
UMA-S344-7.63-mRNA-1	GO:0000166
UMM-S41-23.81-mRNA-1	GO:0000166
UMM-S41-5.18-mRNA-1	GO:0000166
UMM-S2838-24.1-mRNA-1	GO:0035627
UMM-S2852-14.27-mRNA-1	GO:0000439
UMM-S112-5.13-mRNA-1	GO:0005856
UMM-S311-6.24-mRNA-2	GO:0005856
UMA-S2852-15.29-mRNA-1	GO:0043998
UMA-S259-7.28-mRNA-1	GO:0051537
UMM-S2852-15.10-mRNA-1	GO:0005634
UMM-S2852-15.0-mRNA-1	GO:0016021
UMM-S2852-15.11-mRNA-1	GO:0005737
UMM-S2852-15.12-mRNA-1	GO:0005634
UMM-S2852-15.15-mRNA-1	GO:0009890
UMM-S2852-15.1-mRNA-1	GO:0007165
UMM-S2852-15.117-mRNA-1	GO:0009890
UMM-S2852-15.118-mRNA-1	GO:0016020
UMM-S2852-15.3-mRNA-1	GO:0016020
UMM-S2852-15.4-mRNA-1	GO:0046872
UMM-S112-32.24-mRNA-1	GO:0003824
UMM-S112-32.26-mRNA-1	GO:0004888
UMM-S112-32.29-mRNA-1	GO:0007186
UMM-S2864-28.26-mRNA-1	GO:0007186
UMM-S2845-27.27-mRNA-1	GO:0007186
UMM-S2845-15.41-mRNA-1	GO:0007186
UMM-S2840-5.89-mRNA-1	GO:0007186
UMM-S283-0.31-mRNA-1	GO:0050830
UMM-S112-32.30-mRNA-1	GO:0050830
UMM-S112-32.50-mRNA-1	GO:0000166
UMM-S2840-62.61-mRNA-1	GO:0003824
UMM-S112-32.34-mRNA-1	GO:0003824
UMM-S112-33.23-mRNA-2	GO:0004930
UMA-S112-33.5-mRNA-1	GO:0016192
UMA-S112-34.28-mRNA-1	GO:0004812
UMM-S112-34.1-mRNA-1	GO:0016021
UMS-S112-34.23-mRNA-1	GO:0005840
UMS-S10-35.29-mRNA-1	GO:0005840
UMS-S41-42.32-mRNA-1	GO:0005840
UMM-S7-41.70-mRNA-1	GO:0016020
UMM-S112-34.46-mRNA-1	GO:0016020
UMM-S112-34.10-mRNA-1	GO:0016021
UMM-S112-34.8-mRNA-1	GO:0098542
UMM-S112-35.78-mRNA-3	GO:0098542
UMM-S112-35.68-mRNA-1	GO:0098542
UMM-S139-17.17-mRNA-1	GO:0098542
UMA-S112-35.103-mRNA-1	GO:0003677
UMM-S112-35.87-mRNA-1	GO:0071805
UMM-S2842-11.30-mRNA-1	GO:0003677
UMM-S2842-11.42-mRNA-1	GO:0016020
UMM-S207-6.46-mRNA-1	GO:0016020
UMM-S2842-11.56-mRNA-1	GO:0016021
UMM-S2842-11.38-mRNA-1	GO:0016021
UMM-S2842-11.37-mRNA-1	GO:0016020
UMM-S2842-11.35-mRNA-1	GO:0016021
UMM-S2842-10.63-mRNA-1	GO:0044255
UMM-S2842-10.56-mRNA-1	GO:0016021
UMM-S212-3.46-mRNA-1	GO:0003677
UMM-S212-3.39-mRNA-1	GO:0016779
UMM-S212-3.38-mRNA-1	GO:0032012
UMS-S212-2.45-mRNA-1	GO:0030148
UMM-S212-2.20-mRNA-1	GO:0061630
UMA-S212-2.4-mRNA-1	GO:0005634
UMM-S10-62.44-mRNA-1	GO:0005634
UMS-S196-23.90-mRNA-1	GO:0005634
UMA-S212-2.1-mRNA-1	GO:0006561
UMM-S212-1.22-mRNA-1	GO:0000153
UMS-S212-1.77-mRNA-1	GO:0003735
UMM-S212-1.33-mRNA-1	GO:0000149
UMM-S212-1.21-mRNA-2	GO:0003824
UMM-S212-1.12-mRNA-1	GO:0055114
UMM-S71-13.8-mRNA-1	GO:0055114
UMM-S212-1.10-mRNA-1	GO:0016021
UMM-S2840-45.93-mRNA-1	GO:0005886
UMS-S212-1.66-mRNA-1	GO:0005886
UMM-S212-1.2-mRNA-1	GO:0007275
UMS-S212-1.58-mRNA-1	GO:0008233
UMM-S212-1.0-mRNA-1	GO:0008236
UMM-S212-1.26-mRNA-1	GO:0006413
UMM-S212-1.7-mRNA-2	GO:0031012
UMM-S212-0.36-mRNA-1	GO:0005681
UMM-S212-0.43-mRNA-1	GO:0016021
UMM-S212-0.42-mRNA-1	GO:0003924
UMM-S212-0.32-mRNA-1	GO:0005254
UMM-S212-0.26-mRNA-1	GO:0042254
UMM-S212-0.30-mRNA-1	GO:0048812
UMM-S10-21.19-mRNA-1	GO:0016021
UMS-S230-0.35-mRNA-1	GO:0070569
UMS-S230-0.41-mRNA-1	GO:0071819
UMM-S230-0.30-mRNA-1	GO:0005730
UMM-S230-0.32-mRNA-1	GO:0005524
UMM-S230-0.3-mRNA-1	GO:0006508
UMM-S230-1.7-mRNA-1	GO:0016020
UMM-S230-1.42-mRNA-2	GO:0017112
UMS-S2840-26.45-mRNA-1	GO:0003735
UMM-S230-1.4-mRNA-1	GO:0016272
UMM-S230-1.35-mRNA-1	GO:0006006
UMM-S230-1.14-mRNA-1	GO:0046983
UMM-S233-11.46-mRNA-1	GO:0003723
UMM-S504-0.8-mRNA-1	GO:0043023
UMA-S554-0.38-mRNA-1	GO:0004089
UMM-S554-0.9-mRNA-1	GO:0034648
UMM-S554-0.18-mRNA-1	GO:0042578
UMM-S554-0.19-mRNA-1	GO:0002943
UMA-S554-0.43-mRNA-1	GO:0038202
UMM-S554-0.5-mRNA-1	GO:0005739
UMM-S2873-1.67-mRNA-1	GO:0016021
UMM-S554-0.16-mRNA-1	GO:0006351
UMA-S554-0.47-mRNA-1	GO:0004175
UMM-S440-2.121-mRNA-1	GO:0000027
UMM-S440-2.136-mRNA-1	GO:0005739
UMA-S440-2.56-mRNA-1	GO:0005634
UMM-S440-2.104-mRNA-2	GO:0016021
UMM-S440-2.103-mRNA-1	GO:0043547
UMA-S440-2.67-mRNA-1	GO:0003735
UMM-S440-2.117-mRNA-1	GO:0005634
UMM-S440-2.128-mRNA-1	GO:0003677
UMM-S440-2.127-mRNA-1	GO:0042302
UMM-S440-2.115-mRNA-1	GO:0004715
UMM-S440-2.126-mRNA-1	GO:0005739
UMM-S435-1.47-mRNA-1	GO:0018107
UMA-S440-2.61-mRNA-1	GO:0018107
UMM-S473-0.3-mRNA-1	GO:0018107
UMS-S440-2.20-mRNA-1	GO:0016021
UMS-S440-2.4-mRNA-1	GO:0016020
UMS-S440-2.1-mRNA-1	GO:0004069
UMM-S440-1.25-mRNA-1	GO:0005777
UMM-S207-3.11-mRNA-1	GO:0003676
UMM-S13-53.74-mRNA-1	GO:0003676
UMM-S440-1.57-mRNA-1	GO:0003676
UMM-S233-1.50-mRNA-1	GO:0003676
UMM-S412-1.33-mRNA-1	GO:0003676
UMM-S66-36.34-mRNA-1	GO:0003676
UMM-S13-36.29-mRNA-1	GO:0003676
UMM-S440-1.33-mRNA-1	GO:0006470
UMM-S440-1.31-mRNA-1	GO:0008278
UMM-S440-1.23-mRNA-1	GO:0004064
UMM-S440-0.37-mRNA-1	GO:0016020
UMM-S440-0.36-mRNA-1	GO:0006520
UMM-S440-0.35-mRNA-1	GO:0018996
UMS-S440-0.62-mRNA-1	GO:0005739
UMM-S440-0.12-mRNA-1	GO:0006886
UMM-S440-0.22-mRNA-5	GO:0005524
UMA-S440-0.49-mRNA-1	GO:0016020
UMM-S554-0.25-mRNA-1	GO:0016020
UMM-S440-0.27-mRNA-1	GO:0030170
UMM-S289-0.35-mRNA-1	GO:0005739
UMA-S289-0.5-mRNA-1	GO:0005739
UMM-S13-94.95-mRNA-1	GO:0005739
UMA-S13-94.82-mRNA-1	GO:0005739
UMM-S50-9.60-mRNA-1	GO:0005739
UMS-S41-27.10-mRNA-1	GO:0005739
UMM-S2874-4.19-mRNA-1	GO:0005739
UMM-S2840-16.55-mRNA-1	GO:0005874
UMS-S2880-0.2-mRNA-1	GO:0005230
UMM-S2840-16.63-mRNA-1	GO:0016021
UMM-S2838-34.23-mRNA-1	GO:0016020
UMM-S2838-34.13-mRNA-1	GO:0016020
UMM-S2840-16.52-mRNA-1	GO:0016020
UMM-S2840-24.31-mRNA-1	GO:0016020
UMM-S2840-16.62-mRNA-1	GO:0016021
UMM-S2840-16.68-mRNA-1	GO:0016021
UMM-S283-10.75-mRNA-1	GO:0016021
UMM-S2840-16.60-mRNA-1	GO:0016021
UMM-S2840-26.68-mRNA-1	GO:0016021
UMM-S2840-15.66-mRNA-1	GO:0016021
UMM-S2840-84.28-mRNA-1	GO:0005634
UMM-S112-1.18-mRNA-1	GO:0016021
UMM-S2840-15.87-mRNA-1	GO:0000062
UMM-S2840-15.49-mRNA-1	GO:0008146
UMM-S2840-15.86-mRNA-1	GO:0000062
UMM-S2840-15.85-mRNA-1	GO:0016020
UMM-S2840-15.55-mRNA-1	GO:0016021
UMM-S2840-61.60-mRNA-1	GO:0016021
UMS-S2845-16.20-mRNA-1	GO:0016021
UMM-S2859-4.78-mRNA-1	GO:0016021
UMM-S2840-44.11-mRNA-1	GO:0016021
UMM-S325-3.18-mRNA-1	GO:0016020
UMM-S2840-15.68-mRNA-1	GO:0016020
UMM-S2840-14.69-mRNA-1	GO:0020037
UMM-S2840-14.57-mRNA-1	GO:0016020
UMM-S2840-14.28-mRNA-1	GO:0005506
UMM-S2840-78.13-mRNA-1	GO:0016021
UMM-S2838-22.75-mRNA-1	GO:0016021
UMM-S2840-14.26-mRNA-1	GO:0016021
UMA-S2840-14.5-mRNA-1	GO:0016021
UMM-S2840-14.66-mRNA-1	GO:0016020
UMM-S2840-14.50-mRNA-1	GO:0044255
UMM-S2840-14.65-mRNA-1	GO:0016042
UMM-S259-15.33-mRNA-1	GO:0016042
UMM-S2840-14.48-mRNA-1	GO:0022857
UMM-S2840-29.41-mRNA-1	GO:0016021
UMM-S2840-2.47-mRNA-1	GO:0016021
UMM-S2840-13.28-mRNA-1	GO:0016021
UMM-S233-3.61-mRNA-1	GO:0016021
UMM-S10-77.28-mRNA-2	GO:0016021
UMM-S387-4.40-mRNA-1	GO:0016758
UMM-S2840-13.43-mRNA-1	GO:0007606
UMM-S2840-37.43-mRNA-1	GO:0016020
UMM-S2840-13.42-mRNA-1	GO:0016020
UMM-S2840-14.58-mRNA-1	GO:0016020
UMM-S2840-13.34-mRNA-1	GO:0016021
UMM-S2864-3.76-mRNA-2	GO:0016021
UMM-S2840-13.35-mRNA-1	GO:0016021
UMM-S397-1.27-mRNA-1	GO:0010468
UMM-S397-0.24-mRNA-1	GO:0005913
UMA-S397-0.6-mRNA-1	GO:0003723
UMM-S397-0.8-mRNA-1	GO:0003723
UMM-S13-10.26-mRNA-1	GO:0035023
UMM-S13-10.66-mRNA-1	GO:0030332
UMA-S13-11.39-mRNA-1	GO:0016779
UMA-S13-11.44-mRNA-1	GO:0016020
UMM-S13-11.6-mRNA-1	GO:0016021
UMM-S13-15.35-mRNA-1	GO:0001172
UMM-S13-11.4-mRNA-1	GO:0001172
UMM-S2866-1.2-mRNA-1	GO:0000027
UMM-S2865-0.5-mRNA-1	GO:0000027
UMM-S2866-1.4-mRNA-2	GO:0016021
UMM-S2866-1.9-mRNA-1	GO:0003723
UMM-S2866-1.53-mRNA-1	GO:0003735
UMS-S2866-1.33-mRNA-1	GO:0006412
UMM-S196-15.36-mRNA-1	GO:0006412
UMM-S13-11.14-mRNA-1	GO:0005879
UMM-S13-11.21-mRNA-1	GO:0006811
UMM-S13-11.8-mRNA-2	GO:0016021
UMM-S13-12.51-mRNA-1	GO:0005254
UMM-S13-12.59-mRNA-1	GO:0030246
UMS-S13-12.20-mRNA-1	GO:0007606
UMM-S394-2.14-mRNA-1	GO:0003714
UMM-S13-12.62-mRNA-1	GO:0046872
UMM-S13-12.12-mRNA-1	GO:0000470
UMM-S13-12.56-mRNA-1	GO:0005737
UMA-S13-12.50-mRNA-1	GO:0042302
UMM-S41-5.34-mRNA-1	GO:0016021
UMM-S41-5.16-mRNA-1	GO:0006355
UMM-S41-4.42-mRNA-1	GO:0042391
UMM-S230-16.26-mRNA-2	GO:0042391
UMM-S41-4.9-mRNA-1	GO:0006888
UMM-S41-4.8-mRNA-1	GO:0003676
UMM-S41-4.0-mRNA-1	GO:2001256
UMM-S41-3.22-mRNA-1	GO:0016020
UMM-S41-3.60-mRNA-1	GO:0016020
UMM-S41-3.67-mRNA-1	GO:0016020
UMM-S41-3.59-mRNA-1	GO:0016020
UMM-S41-3.20-mRNA-1	GO:0016020
UMM-S41-3.25-mRNA-1	GO:0000287
UMS-S2854-20.54-mRNA-1	GO:0005789
UMM-S41-3.54-mRNA-1	GO:0005634
UMS-S41-3.34-mRNA-1	GO:0005634
UMM-S41-17.51-mRNA-1	GO:0016020
UMA-S41-17.5-mRNA-1	GO:0016021
UMM-S41-3.52-mRNA-1	GO:0003676
UMA-S41-3.2-mRNA-1	GO:0005737
UMS-S2844-55.42-mRNA-1	GO:0005737
UMM-S41-3.51-mRNA-1	GO:0005634
UMA-S41-3.0-mRNA-1	GO:0046540
UMM-S41-2.26-mRNA-1	GO:0005634
UMM-S41-2.59-mRNA-1	GO:0045292
UMM-S41-2.24-mRNA-1	GO:0005634
UMM-S41-2.58-mRNA-1	GO:0016021
UMM-S41-2.69-mRNA-1	GO:0034755
UMM-S41-2.68-mRNA-1	GO:0005525
UMA-S41-2.77-mRNA-1	GO:0006355
UMM-S250-17.6-mRNA-1	GO:0007186
UMM-S250-17.13-mRNA-1	GO:0016020
UMM-S233-19.90-mRNA-1	GO:0043235
UMM-S250-17.8-mRNA-1	GO:0016021
UMM-S250-17.7-mRNA-1	GO:0030297
UMM-S250-16.37-mRNA-1	GO:0003824
UMM-S250-16.43-mRNA-1	GO:0034968
UMM-S250-16.31-mRNA-2	GO:0015031
UMM-S250-16.41-mRNA-1	GO:0016021
UMM-S250-16.40-mRNA-1	GO:0055085
UMM-S250-16.44-mRNA-1	GO:0016021
UMM-S250-16.39-mRNA-1	GO:0035556
UMM-S250-15.36-mRNA-1	GO:0016021
UMM-S250-15.7-mRNA-1	GO:0005615
UMM-S250-15.35-mRNA-1	GO:0007411
UMM-S250-15.33-mRNA-1	GO:0030054
UMM-S250-14.29-mRNA-1	GO:0031514
UMM-S233-16.41-mRNA-1	GO:0003735
UMM-S196-14.55-mRNA-1	GO:0003735
UMM-S250-14.3-mRNA-1	GO:0003735
UMM-S2840-42.45-mRNA-1	GO:0016020
UMM-S250-14.25-mRNA-1	GO:0016020
UMM-S285-7.22-mRNA-1	GO:0016021
UMM-S250-14.24-mRNA-1	GO:0016021
UMM-S50-16.9-mRNA-1	GO:0005840
UMA-S66-8.25-mRNA-1	GO:1901076
UMM-S66-7.8-mRNA-1	GO:0004672
UMA-S66-7.48-mRNA-1	GO:0016787
UMS-S394-1.20-mRNA-1	GO:0016020
UMM-S50-10.62-mRNA-1	GO:0016020
UMM-S66-7.41-mRNA-1	GO:0090502
UMM-S66-7.42-mRNA-1	GO:0090502
UMM-S66-7.10-mRNA-1	GO:0050877
UMM-S66-7.1-mRNA-1	GO:0003676
UMM-S66-7.29-mRNA-1	GO:0003677
UMM-S139-21.6-mRNA-1	GO:0016020
UMA-S139-21.34-mRNA-1	GO:0022627
UMA-S196-12.52-mRNA-1	GO:0022627
UMM-S139-21.9-mRNA-1	GO:0016567
UMA-S139-21.27-mRNA-1	GO:0005524
UMM-S139-21.47-mRNA-1	GO:0003700
UMM-S50-18.21-mRNA-1	GO:0005840
UMM-S50-18.55-mRNA-1	GO:0005840
UMM-S50-18.20-mRNA-1	GO:0005840
UMM-S139-21.41-mRNA-1	GO:0005743
UMM-S139-21.43-mRNA-1	GO:0006457
UMM-S139-22.31-mRNA-1	GO:0016020
UMM-S139-22.64-mRNA-1	GO:0005739
UMM-S139-22.58-mRNA-1	GO:0000166
UMM-S139-22.29-mRNA-1	GO:0016310
UMM-S139-22.69-mRNA-1	GO:0030246
UMM-S2840-45.19-mRNA-1	GO:0030246
UMM-S2863-0.2-mRNA-1	GO:0030246
UMM-S410-0.17-mRNA-1	GO:0030246
UMM-S139-22.61-mRNA-1	GO:0016020
UMM-S139-23.52-mRNA-1	GO:0003677
UMM-S2838-40.14-mRNA-1	GO:0003824
UMS-S139-23.18-mRNA-1	GO:0003824
UMM-S139-23.53-mRNA-1	GO:0005856
UMA-S139-23.47-mRNA-1	GO:0004222
UMM-S2840-65.57-mRNA-1	GO:0016020
UMM-S139-23.26-mRNA-1	GO:0016020
UMM-S2838-46.106-mRNA-1	GO:0016020
UMM-S139-23.33-mRNA-1	GO:0008138
UMM-S139-23.58-mRNA-1	GO:0030297
UMS-S139-23.21-mRNA-1	GO:0043546
UMM-S139-24.24-mRNA-1	GO:0005509
UMM-S139-24.21-mRNA-1	GO:0006355
UMM-S139-24.20-mRNA-1	GO:0005634
UMM-S407-3.12-mRNA-1	GO:0008270
UMM-S139-25.33-mRNA-1	GO:0005887
UMM-S139-25.34-mRNA-1	GO:0006511
UMS-S2840-47.43-mRNA-1	GO:0006511
UMM-S139-25.27-mRNA-1	GO:0052689
UMM-S139-25.28-mRNA-1	GO:0016020
UMM-S139-25.35-mRNA-1	GO:0016192
UMM-S139-25.30-mRNA-1	GO:0008061
UMM-S139-25.31-mRNA-1	GO:0004672
UMM-S139-25.38-mRNA-1	GO:0006469
UMM-S139-26.20-mRNA-1	GO:0016020
UMM-S139-26.34-mRNA-1	GO:0010793
UMM-S230-3.42-mRNA-1	GO:0005887
UMM-S139-26.29-mRNA-1	GO:0016021
UMA-S139-26.5-mRNA-1	GO:0003676
UMM-S139-26.17-mRNA-1	GO:0031047
UMM-S139-26.23-mRNA-1	GO:0008233
UMM-S139-26.37-mRNA-1	GO:0055114
UMM-S139-26.26-mRNA-1	GO:0016021
UMM-S139-26.28-mRNA-1	GO:0005634
UMM-S139-26.19-mRNA-1	GO:0016020
UMS-S230-12.13-mRNA-1	GO:0006412
UMM-S139-27.23-mRNA-2	GO:0016021
UMM-S139-27.33-mRNA-1	GO:0016020
UMM-S139-27.34-mRNA-1	GO:0044798
UMM-S139-28.12-mRNA-1	GO:0016021
UMM-S139-28.13-mRNA-1	GO:0016021
UMM-S139-28.72-mRNA-1	GO:0031124
UMM-S139-28.16-mRNA-1	GO:0005634
UMA-S139-28.31-mRNA-1	GO:0005930
UMM-S139-28.74-mRNA-1	GO:0003735
UMM-S139-28.2-mRNA-1	GO:0046872
UMM-S139-28.3-mRNA-1	GO:0046872
UMM-S139-28.18-mRNA-2	GO:0003677
UMM-S139-28.76-mRNA-1	GO:0016021
UMS-S139-28.112-mRNA-1	GO:0003677
UMM-S139-28.5-mRNA-1	GO:0016021
UMM-S139-28.67-mRNA-1	GO:0004896
UMM-S7-99.59-mRNA-2	GO:0000151
UMM-S7-99.4-mRNA-1	GO:0005096
UMM-S7-99.20-mRNA-1	GO:0016020
UMM-S7-99.16-mRNA-1	GO:0046872
UMM-S7-99.53-mRNA-1	GO:0005634
UMM-S2840-45.81-mRNA-1	GO:0016020
UMM-S2840-45.85-mRNA-1	GO:0016020
UMM-S2840-45.84-mRNA-1	GO:0016020
UMS-S7-99.67-mRNA-1	GO:0016020
UMM-S2877-1.14-mRNA-1	GO:0016020
UMA-S7-99.33-mRNA-1	GO:0018996
UMM-S7-99.51-mRNA-1	GO:0003723
UMS-S196-4.26-mRNA-1	GO:0006379
UMM-S7-99.7-mRNA-1	GO:0006379
UMM-S473-1.95-mRNA-1	GO:0016787
UMM-S7-98.17-mRNA-1	GO:0016787
UMM-S7-98.40-mRNA-1	GO:0004559
UMA-S41-27.55-mRNA-1	GO:0005739
UMM-S7-98.29-mRNA-1	GO:0005739
UMM-S344-1.59-mRNA-1	GO:0005739
UMM-S7-98.19-mRNA-1	GO:0016020
UMM-S7-97.57-mRNA-1	GO:0016020
UMM-S7-97.43-mRNA-1	GO:0016021
UMM-S7-97.56-mRNA-1	GO:0016020
UMM-S7-97.40-mRNA-1	GO:0000470
UMM-S7-96.54-mRNA-1	GO:0061630
UMS-S7-96.45-mRNA-1	GO:0016020
UMM-S7-96.62-mRNA-1	GO:0003676
UMM-S7-96.6-mRNA-1	GO:0003723
UMM-S57-1.83-mRNA-1	GO:0016567
UMM-S7-96.15-mRNA-1	GO:0016567
UMM-S2840-39.39-mRNA-1	GO:0007606
UMM-S2840-39.37-mRNA-1	GO:0005634
UMM-S2840-39.2-mRNA-1	GO:0008289
UMS-S2845-15.51-mRNA-1	GO:0003700
UMM-S2840-39.26-mRNA-1	GO:0003700
UMM-S230-18.23-mRNA-1	GO:0003700
UMM-S2840-39.15-mRNA-1	GO:0003700
UMM-S2840-39.14-mRNA-1	GO:0016020
UMM-S2840-39.13-mRNA-1	GO:0042302
UMM-S379-6.45-mRNA-1	GO:0005634
UMM-S2840-39.31-mRNA-1	GO:0005634
UMM-S283-12.39-mRNA-1	GO:0003700
UMM-S2840-38.57-mRNA-2	GO:0051119
UMM-S2840-38.49-mRNA-1	GO:0016021
UMM-S2840-38.35-mRNA-1	GO:0016021
UMM-S2854-24.15-mRNA-1	GO:0000166
UMM-S2840-38.33-mRNA-1	GO:0000166
UMM-S2840-69.4-mRNA-1	GO:0000166
UMM-S10-2.25-mRNA-1	GO:0000166
UMM-S2840-38.30-mRNA-1	GO:0016020
UMM-S2840-14.70-mRNA-1	GO:0016020
UMM-S2840-37.63-mRNA-1	GO:0016021
UMM-S2840-37.50-mRNA-1	GO:0004531
UMM-S2840-37.39-mRNA-1	GO:0006412
UMM-S7-77.21-mRNA-1	GO:0006412
UMM-S41-50.17-mRNA-1	GO:0006412
UMM-S60-3.54-mRNA-1	GO:0006412
UMM-S2840-37.37-mRNA-1	GO:0016021
UMM-S2880-0.3-mRNA-1	GO:0016020
UMM-S2840-37.26-mRNA-1	GO:0016020
UMM-S2838-21.42-mRNA-1	GO:0016021
UMM-S2840-37.25-mRNA-1	GO:0007268
UMA-S2840-37.67-mRNA-1	GO:0016787
UMM-S2840-37.33-mRNA-1	GO:0016020
UMM-S2840-37.32-mRNA-2	GO:0035556
UMM-S2840-81.61-mRNA-1	GO:0035556
UMS-S2840-37.10-mRNA-1	GO:0000977
UMM-S2840-37.52-mRNA-1	GO:0034626
UMS-S2840-37.0-mRNA-1	GO:0016740
UMM-S2840-36.71-mRNA-1	GO:0008253
UMM-S2840-36.72-mRNA-1	GO:0008253
UMM-S2840-36.56-mRNA-1	GO:0004675
UMM-S233-19.97-mRNA-1	GO:0005509
UMM-S233-19.27-mRNA-2	GO:0005634
UMM-S233-19.91-mRNA-1	GO:0005634
UMM-S233-19.75-mRNA-1	GO:0030134
UMA-S233-19.56-mRNA-1	GO:0030031
UMM-S10-26.7-mRNA-1	GO:0030031
UMM-S233-19.74-mRNA-3	GO:0070588
UMM-S233-19.3-mRNA-1	GO:0016020
UMM-S233-19.70-mRNA-1	GO:0016021
UMM-S233-19.86-mRNA-1	GO:0016740
UMM-S233-19.20-mRNA-1	GO:0003723
UMM-S233-19.84-mRNA-2	GO:0003723
UMM-S233-18.35-mRNA-1	GO:0005267
UMM-S233-18.39-mRNA-1	GO:0016021
UMM-S233-18.32-mRNA-1	GO:0005890
UMM-S2868-22.59-mRNA-1	GO:0005890
UMM-S233-18.30-mRNA-1	GO:0004731
UMS-S112-27.55-mRNA-1	GO:0003676
UMM-S196-6.8-mRNA-1	GO:0003676
UMM-S233-18.17-mRNA-1	GO:0003676
UMA-S233-18.3-mRNA-1	GO:0034707
UMM-S233-17.37-mRNA-2	GO:0016021
UMM-S233-17.45-mRNA-1	GO:0046872
UMM-S233-17.36-mRNA-1	GO:0016021
UMA-S233-17.26-mRNA-1	GO:0009058
UMM-S233-17.9-mRNA-1	GO:0007179
UMS-S233-17.61-mRNA-1	GO:0016021
UMM-S233-17.7-mRNA-1	GO:0016972
UMM-S233-17.32-mRNA-1	GO:0003824
UMM-S233-16.40-mRNA-2	GO:0015031
UMM-S233-16.6-mRNA-1	GO:0016021
UMM-S233-16.12-mRNA-1	GO:0005840
UMS-S233-16.61-mRNA-1	GO:0034625
UMM-S233-16.3-mRNA-1	GO:0003677
UMM-S273-4.24-mRNA-1	GO:0003677
UMM-S233-16.8-mRNA-1	GO:0005739
UMM-S233-14.53-mRNA-2	GO:0016153
UMM-S233-14.29-mRNA-1	GO:0016021
UMM-S7-68.8-mRNA-1	GO:0006814
UMM-S7-68.22-mRNA-1	GO:0003676
UMM-S7-69.25-mRNA-1	GO:0006814
UMS-S71-36.50-mRNA-1	GO:0006814
UMS-S2845-14.17-mRNA-1	GO:0006814
UMM-S7-68.7-mRNA-1	GO:0016020
UMM-S41-15.12-mRNA-1	GO:0005634
UMM-S7-69.21-mRNA-1	GO:0003676
UMM-S7-69.22-mRNA-1	GO:0016020
UMM-S2845-18.53-mRNA-1	GO:0016020
UMM-S7-70.18-mRNA-1	GO:0016020
UMM-S7-70.10-mRNA-1	GO:0061630
UMM-S7-71.13-mRNA-1	GO:0000963
UMM-S7-71.16-mRNA-1	GO:0016021
UMS-S7-72.33-mRNA-1	GO:0003676
UMM-S7-72.13-mRNA-1	GO:0003676
UMM-S7-72.29-mRNA-1	GO:0010469
UMA-S322-8.67-mRNA-1	GO:0003676
UMM-S413-1.18-mRNA-1	GO:0003676
UMA-S7-72.9-mRNA-1	GO:0003676
UMS-S13-2.65-mRNA-1	GO:0003676
UMS-S13-22.13-mRNA-1	GO:0003676
UMA-S2864-7.14-mRNA-1	GO:0003676
UMS-S2877-2.36-mRNA-1	GO:0003676
UMM-S10-26.25-mRNA-1	GO:0016021
UMS-S10-26.42-mRNA-1	GO:0016021
UMM-S10-26.57-mRNA-1	GO:0016021
UMM-S2838-10.20-mRNA-1	GO:0016021
UMM-S10-25.23-mRNA-1	GO:0016021
UMM-S10-26.21-mRNA-1	GO:0016021
UMM-S2838-27.66-mRNA-1	GO:0016021
UMM-S10-26.51-mRNA-1	GO:0016020
UMM-S10-25.33-mRNA-1	GO:0030695
UMM-S10-25.8-mRNA-2	GO:0043547
UMM-S10-25.31-mRNA-1	GO:0016787
UMA-S10-25.36-mRNA-1	GO:0005739
UMM-S230-10.20-mRNA-1	GO:0005829
UMM-S230-10.12-mRNA-1	GO:0005829
UMM-S10-25.6-mRNA-1	GO:0016817
UMM-S10-24.4-mRNA-1	GO:0005794
UMM-S10-24.17-mRNA-1	GO:0003676
UMM-S10-24.67-mRNA-1	GO:0003676
UMM-S13-28.22-mRNA-1	GO:0016021
UMM-S13-28.17-mRNA-2	GO:0005524
UMM-S13-28.13-mRNA-1	GO:0005762
UMM-S13-29.77-mRNA-1	GO:0045454
UMM-S13-30.4-mRNA-1	GO:0003735
UMA-S13-30.32-mRNA-1	GO:0003676
UMM-S13-30.25-mRNA-1	GO:0016926
UMM-S13-30.6-mRNA-1	GO:0055085
